T_C,T_K,P_Pa,h_liq_Jkg,h_vap_Jkg,s_liq_JkgK,s_vap_JkgK
-22.638888888888886,250.5111111111111,118265.117411324,170226.26579089076,384919.0120742732,886.7492536381619,1743.768111329301
-20.833333333333336,252.31666666666663,128023.03673541498,172557.45580664478,386038.7670412294,895.9931334991207,1742.0779920812658
-19.02777777777778,254.1222222222222,138403.320287974,174895.6497031215,387154.57395154174,905.196835011956,1740.4599709639403
-17.22222222222222,255.92777777777775,149432.96719551235,177240.98313005254,388266.1644964149,914.361364386613,1738.9110994669368
-15.416666666666664,257.7333333333333,161139.5003650506,179593.5963130155,389373.26826490235,923.4877215805627,1737.428507736357
-13.611111111111107,259.5388888888889,173550.95711260557,181953.63432698336,390475.6122956338,932.5769014888119,1736.0094000301788
-11.805555555555557,261.34444444444443,186695.87993319024,184321.24738291695,391572.9205873535,941.6298951394965,1734.6510502094045
-10.0,263.15,200603.30747267744,186696.5911292106,392664.91356786405,950.647690901322,1733.3507972613968
-8.194444444444443,264.9555555555555,215302.7657611576,189079.8269699089,393751.30752066,959.631275709193,1732.106040850835
-6.388888888888886,266.76111111111106,230824.25976678915,191471.12240174497,394831.8139681754,968.5816363145796,1730.914236892655
-4.583333333333329,268.56666666666666,247198.2653286602,193870.6513722202,395906.1390101638,977.4997605674376,1729.7728931401455
-2.7777777777777715,270.3722222222222,264455.72152687964,196278.59466111308,396973.98261526,986.3866387367694,1728.679564780012
-0.9722222222222143,272.17777777777775,282628.0235480263,198695.14028803093,398035.03786327085,995.2432648773885,1727.631850024824
0.8333333333333286,273.9833333333333,301747.01610422967,201120.48394885458,399088.9901351553,1004.070638250921,1726.6273856916441
2.6388888888888857,275.7888888888889,321844.9874646432,203554.82948420077,400135.51624702715,1012.8697648096811,1725.6638427539363
4.444444444444443,277.59444444444443,342954.6641588753,205998.3893833642,401174.2835237891,1021.6416587527873,1724.7389218519634
6.25,279.4,365109.2064131448,208451.3853275552,402204.94880722486,1030.3873441647333,1723.8503487447979
8.055555555555557,281.2055555555555,388342.20438160375,210914.04877668686,403227.1573924757,1039.107856747605,1722.9958696847993
9.861111111111114,283.01111111111106,412687.6752374632,213386.62160444935,404240.54188583704,1047.8042456593219,1722.173246692846
11.666666666666671,284.81666666666666,438180.06119132624,215869.3567869792,405244.7209756781,1056.4775754716577,1721.38025270976
13.472222222222229,286.6222222222222,464854.22850762215,218362.51915108884,406239.2981070158,1065.1289282633272,1720.614666596146
15.277777777777786,288.42777777777775,492745.46759426524,220866.38618877923,407223.8600488165,1073.7594058653901,1719.87426794923
17.08333333333333,290.2333333333333,521889.4942457682,223381.24894564712,408197.97534144396,1082.3701322783347,1719.1568317010874
18.888888888888886,292.0388888888889,552322.4521262405,225907.41299183588,409161.19260975433,1090.962256282821,1718.4601224578987
20.694444444444443,293.84444444444443,584080.9165859455,228445.1994853857,410113.0387251388,1099.5369542690914,1717.7818885343022
22.5,295.65,617201.8999137968,230994.94633927455,411053.0167972518,1108.0954333136706,1717.1198556305224
24.305555555555557,297.4555555555555,651722.8581383548,233557.00950512174,411980.60397317953,1116.6389345361956,1716.4717200924017
26.111111111111114,299.26111111111106,687681.699501897,236131.76438853546,412895.249018303,1125.1687367743657,1715.8351416856867
27.91666666666667,301.06666666666666,725116.7947462156,238719.60741346734,413796.36964899424,1133.686160621046,1715.2077358054796
29.72222222222223,302.8722222222222,764066.9893653125,241320.9577558046,414683.34958242014,1142.1925728748993,1714.5870650294721
31.527777777777786,304.67777777777775,804571.6179995573,243936.25926987236,415555.5352629339,1150.6893914647626,1713.9706299088584
33.33333333333333,306.4833333333333,846670.5211684902,246565.98263569095,416412.23221763683,1159.1780909187164,1713.355858873296
35.138888888888886,308.2888888888889,890404.0645661412,249210.62775990376,417252.7009854033,1167.6602084619021,1712.7400971051286
36.94444444444444,310.09444444444443,935813.161173868,251870.7264694948,418076.1525536719,1176.137350843165,1712.1205942126019
38.75,311.9,982939.2964824975,254546.8455450354,418881.7432252069,1184.6112020103833,1711.4944905008335
40.55555555555556,313.7055555555555,1031824.5571585803,257239.5901496171,419668.56882227655,1193.0835317788,1710.8588016015053
42.361111111111114,315.51111111111106,1082511.6635405752,259949.60772131773,420435.65811763844,1201.5562056670585,1710.2104011758927
44.16666666666667,317.31666666666666,1135044.0064107995,262677.59241165285,421181.9653594538,1210.031196113704,1709.5460013486456
45.97222222222223,319.1222222222222,1189465.6885601555,265424.29017076927,421906.36172965425,1218.5105953345992,1708.862130458713
47.777777777777786,320.92777777777775,1245821.571747235,268190.50460325676,422607.6255408386,1226.996630141992,1708.155107625066
49.58333333333333,322.7333333333333,1304157.329754075,270977.10374775383,423284.43093350274,1235.4916791224034,1707.4210135132791
51.388888888888886,324.5388888888889,1364519.5083614343,273785.02797091467,423935.3347806253,1243.9982926680361,1706.6556565475219
53.19444444444446,326.34444444444443,1426955.593211321,276615.29921428004,424558.7614367527,1252.5192164815614,1705.854533631899
55.0,328.15,1491514.08669978,279469.03189456277,425152.9848788233,1261.0574193357436,1705.012784212357
56.80555555555557,329.9555555555555,1558244.5952560788,282347.4458384611,425716.1076692886,1269.6161260795202,1704.125136207971
58.611111111111114,331.76111111111106,1627197.9286259494,285251.8817388006,426246.03601913276,1278.1988571577078,1703.185841943611
60.41666666666666,333.5666666666666,1698426.2131005267,288183.8197586154,426740.45002581243,1286.8094762758906,1702.188601689692
62.22222222222223,335.3722222222222,1771983.0210376822,291144.90209659986,427196.7678897738,1295.4522483290675,1701.1264717089164
64.02777777777777,337.17777777777775,1847923.5195361977,294136.96057992586,427612.10254519177,1304.1319103711448,1699.991752751489
65.83333333333334,338.98333333333335,1926304.6417833674,297162.050696298,427983.20863479003,1312.8537593045892,1698.775853621395
67.63888888888889,340.7888888888889,2007185.2854583482,300222.4939578682,428306.4170532701,1321.6237612245336,1697.469122594759
69.44444444444446,342.59444444444443,2090626.5437188062,303320.93116895907,428577.5532843794,1330.4486891265894,1696.0606368583688
71.25,344.4,2176691.9758480364,306460.39014736,428791.8343152993,1339.336298245392,1694.5379363636823
73.05555555555557,346.2055555555555,2265447.9267798457,309644.3728854619,428943.7367927445,1348.2955520532853,1692.8866829374879
74.86111111111111,348.01111111111106,2356963.9077379126,312876.96929612744,429026.8259013677,1357.3369176098004,1691.0902171363678
76.66666666666666,349.8166666666666,2451313.0545848026,316163.0080141932,429033.52954584535,1366.4727576874188,1689.128972461783
78.47222222222223,351.6222222222222,2548572.686923789,319508.25999407354,428954.8346730726,1375.7178609568034,1686.9796861830541
80.27777777777777,353.42777777777775,2648825.0007971297,322919.71925824747,428779.8699476302,1385.090174197772,1684.6143127784799
82.08333333333334,355.23333333333335,2752157.943169229,326405.9997432696,428495.3176891919,1394.6118389732374,1681.9984898484997
83.88888888888889,357.0388888888889,2858666.3412322802,329977.9129395484,428084.5605472481,1404.3107031720313,1679.0893075784293
85.69444444444446,358.84444444444443,2968453.40139666,333649.33868356945,427526.3994465807,1414.2226037797075,1675.8319507165113
87.5,360.65,3081632.766494114,337438.5948263106,426793.0450717487,1424.3949642347477,1672.1544269976432
89.30555555555557,362.4555555555555,3198331.456735113,341370.70734808344,425846.80541219335,1434.8927683926945,1667.9588554461232
