T_C,T_K,P_Pa,h_liq_Jkg,h_vap_Jkg,s_liq_JkgK,s_vap_JkgK
-75.0,198.14999999999998,535.2008307774158,110741.45845561114,305272.61258455017,618.5235760892205,1600.2604124705765
-73.19444444444444,199.95555555555552,637.3285237471458,112862.24221049003,306431.7422432858,629.1777018393454,1597.2403270311418
-71.38888888888889,201.7611111111111,755.9539545018071,114983.51272821163,307598.3736538603,639.7384243841908,1594.406347577647
-69.58333333333333,203.56666666666666,893.2340970901641,117105.35454966131,308772.3199877046,650.2078181533274,1591.7517780585667
-67.77777777777777,205.3722222222222,1051.5351097930256,119227.84894018859,309953.3920533692,660.5878858896807,1589.2701636069025
-65.97222222222223,207.17777777777775,1233.444140298894,121351.07416708925,311141.39832944074,670.8805624605964,1586.9552795372722
-64.16666666666667,208.9833333333333,1441.7810304182972,123475.10576197025,312336.1450084581,681.0877184303899,1584.8011209975248
-62.361111111111114,210.78888888888886,1679.609861636193,125600.01676877725,313537.43605153845,691.2111634107338,1582.8018932324865
-60.55555555555556,212.59444444444443,1950.2502842835847,127725.87797826518,314745.07325323496,701.2526492040937,1580.9520024195208
-58.75,214.39999999999998,2257.288575182065,129852.75814966437,315958.85631596384,711.2138727544742,1579.246047037593
-56.94444444444444,216.20555555555552,2604.588371230583,131980.72422033595,317178.58293319016,721.0964789188417,1577.6788097334913
-55.138888888888886,218.0111111111111,2996.3010295079816,134109.8415041265,318404.0488804228,730.9020630717282,1576.245249650734
-53.33333333333333,219.81666666666666,3436.8755679982555,136240.17387913735,319635.0481129591,740.6321735546799,1574.9404951885622
-51.52777777777778,221.6222222222222,3931.0681449449803,138371.78396564053,320871.3728692317,750.2883139814593,1573.7598371602005
-49.72222222222222,223.42777777777775,4483.951039041404,140504.7332947845,322112.8137785412,759.8719454091902,1572.6987223213455
-47.91666666666667,225.2333333333333,5100.921097097592,142639.08246876596,323359.1599719144,769.3844883849218,1571.7527472415854
-46.111111111111114,227.03888888888886,5787.707620431078,144774.8913130875,324610.19919480645,778.8273248764758,1570.917652493117
-44.30555555555556,228.84444444444443,6550.379665937645,146912.21902152846,325865.71792035387,788.2018000958026,1570.1893171328113
-42.5,230.64999999999998,7395.352742555146,149051.1242943839,327125.5014619055,797.5092242225556,1569.563753455248
-40.69444444444444,232.45555555555552,8329.39488857724,151191.66547057772,328389.33408358094,806.7508740350163,1569.0371019959289
-38.888888888888886,234.2611111111111,9359.632119953938,153333.9006541497,329656.99910765083,815.9279944550102,1568.6056267653532
