T_C,T_K,P_Pa,h_liq_Jkg,h_vap_Jkg,s_liq_JkgK,s_vap_JkgK
-42.5,230.64999999999998,45671.42477311395,144998.01233186133,371853.84592354397,782.3226867832315,1765.872799905634
-40.69444444444444,232.45555555555552,50004.775925452755,147196.95634150607,373071.81744409335,791.802860104851,1763.4933863336548
-38.888888888888886,234.2611111111111,54661.180821910806,149407.65913333194,374292.3181639187,801.258802208886,1761.2331571666857
-37.083333333333336,236.06666666666663,59657.5447838335,151630.1725268012,375515.10593574727,810.6910332427336,1759.0880965395963
-35.27777777777778,237.8722222222222,65011.21061282399,153864.55013632073,376739.9393891762,820.1000665688528,1757.054315243773
-33.47222222222222,239.67777777777775,70739.951137807,156110.84754509293,377966.5776978085,829.4864096787846,1755.1280449179667
-31.666666666666664,241.48333333333332,76861.96143914611,158369.12247959815,379194.7803030395,838.8505650752712,1753.3056323267367
-29.861111111111107,243.28888888888886,83395.85080598993,160639.43498501042,380424.3065969558,848.1930311248897,1751.5835337315355
-28.055555555555557,245.09444444444443,90360.63448295611,162921.84760193632,381654.91556682193,857.5143028837867,1749.9583093592819
-26.25,246.89999999999998,97775.72526192461,165216.42554490414,382886.36540358857,866.8148728991733,1748.4266179728238
-24.444444444444443,248.70555555555552,105660.92497415392,167523.23688311584,384118.4130767671,876.0952319894121,1746.985211547061
-22.638888888888886,250.5111111111111,114036.41593716184,169842.3527240364,385350.81387786474,885.3558700056271,1745.6309300537346
-20.833333333333336,252.31666666666663,122922.7524098794,172173.84740048138,386583.3209343927,894.5972765779458,1744.3606963569714
-19.02777777777778,254.1222222222222,132340.85210851236,174517.7986619336,387815.68469622167,903.8199418495761,1743.1715112206543
-17.22222222222222,255.92777777777775,142311.98783434348,176874.28787090225,389047.65239579504,913.0243572021845,1742.0604484275898
-15.416666666666664,257.7333333333333,152857.77926347358,179243.4002052477,390278.967483397,922.2110159760873,1741.0246500092585
-13.611111111111107,259.5388888888889,164000.18494717177,181625.22486747784,391509.36903833493,931.3804141891034,1740.061321583719
-11.805555555555557,261.34444444444443,175761.49457021285,184019.8553021379,392738.59115653037,940.5330512580405,1739.1677277979563
-10.0,263.15,188164.32151328828,186427.38942253758,393966.36231460044,949.6694307271056,1738.3411878696584
-8.194444444444443,264.9555555555555,201231.59576435477,188847.92984819805,395192.40471009986,958.7900610077544,1737.5790712220955
-6.388888888888886,266.76111111111106,214986.5572226276,191281.58415453124,396416.43357712275,967.8954561349009,1736.8787932044067
-4.583333333333329,268.56666666666666,229452.7494379577,193728.46513646044,397638.1564759909,976.9861365446877,1736.237810888228
-2.7777777777777715,270.3722222222222,244654.01382741172,196188.6910878479,398857.27255523833,986.0626298795182,1735.6536189302146
-0.9722222222222143,272.17777777777775,260614.48441026968,198662.3860988304,400073.47178355703,995.1254718265092,1735.1237454885513
0.8333333333333286,273.9833333333333,277358.5831021478,201149.68037338508,401286.4341487877,1004.1752069960557,1734.6457481800799
2.6388888888888857,275.7888888888889,294911.01560878754,203650.71056973285,402495.82882042375,1013.2123898479108,1734.2172100631394
4.444444444444443,277.59444444444443,313296.76796013134,206165.62016648147,403701.31327142444,1022.2375856728318,1733.8357356295967
6.25,279.4,332541.10372569476,208694.55985777295,404902.53235441406,1031.2513716387755,1733.4989467878127
8.055555555555557,281.2055555555555,352669.5619530034,211237.6879810903,406099.11732656107,1040.2543379115616,1733.2044788164903
9.861111111111114,283.01111111111106,373707.9558720203,213795.17098185062,407290.6848165669,1049.247088861038,1732.949976267283
11.666666666666671,284.81666666666666,395682.3724100219,216367.1839194258,408476.8357262419,1058.230244365124,1732.7330887918877
13.472222222222229,286.6222222222222,418619.17256344616,218953.9110198454,409657.15405809204,1067.2044412255814,1732.5514668668516
15.277777777777786,288.42777777777775,442544.9926757767,221555.54628113692,410831.2056591452,1076.1703347111086,1732.4027573865608
17.08333333333333,290.2333333333333,467486.74667364,224172.29413805803,411998.5368699094,1085.1286002453664,1732.2845990917597
18.888888888888886,292.0388888888889,493471.6293170207,226804.37019391728,413158.67306582746,1094.0799352599086,1732.1946177973145
20.694444444444443,293.84444444444443,520527.12052395847,229452.00202826617,414311.1170768504,1103.0250612346704,1732.1304213788344
22.5,295.65,548680.990835254,232115.4300905011,415455.3474687411,1111.9647259518943,1732.0895944729164
24.305555555555557,297.4555555555555,577961.3080907618,234794.90869089912,416590.81666739425,1120.899705993075,1732.0696928402072
26.111111111111114,299.26111111111106,608396.4453959003,237490.70710234056,417716.9489047558,1129.830809512852,1732.06823733387
27.91666666666667,301.06666666666666,640015.0904650384,240203.11078799318,418833.137961753,1138.7588793289406,1732.0827074083024
29.72222222222223,302.8722222222222,672846.256437794,242932.4227726441,419938.7446799285,1147.684796373253,1732.110534093803
31.527777777777786,304.67777777777775,706919.2942750211,245678.9651781968,421033.0942090701,1156.6094835565464,1732.1490923519445
33.33333333333333,306.4833333333333,742263.9068535861,248443.08094722513,422115.47295290424,1165.5339101075026,1732.1956927134495
35.138888888888886,308.2888888888889,778910.1648933676,251225.1357825066,423185.1251686894,1174.4590964573783,1732.2475720847283
36.94444444444444,310.09444444444443,816888.524866289,254025.5203352875,424241.249169076,1183.3861197536562,1732.301883590514
38.75,311.9,856229.8490563935,256844.65268086016,425282.99306559586,1192.3161201009607,1732.3556852972922
40.55555555555556,313.7055555555555,896965.4279620191,259682.98112707326,426309.44998223823,1201.2503076454823,1732.4059276346745
42.361111111111114,315.51111111111106,939127.0052571337,262540.98741000175,427319.6526542949,1210.189970641084,1732.4494392981617
44.16666666666667,317.31666666666666,982746.8055591694,265419.1903415073,428312.56731139973,1219.136484662187,1732.4829113754356
45.97222222222223,319.1222222222222,1027857.5652864705,268318.1499863894,429287.0867236619,1228.0913231616896,1732.5028793872575
47.777777777777786,320.92777777777775,1074492.5669310165,271238.4724628949,430242.02226498054,1237.056069613393,1732.5057028707095
49.58333333333333,322.7333333333333,1122685.6771225883,274180.8154804173,431176.09481667605,1246.0324315298985,1732.48754205332
51.388888888888886,324.5388888888889,1172471.3889215242,277145.89475343,432087.92429570406,1255.0222567117971,1732.4443310670256
