T_C,T_K,P_Pa,h_liq_Jkg,h_vap_Jkg,s_liq_JkgK,s_vap_JkgK
-75.0,198.14999999999998,3763.8380150038224,105453.06951012854,331289.5831751146,596.8438068755221,1736.568831679891
-73.19444444444444,199.95555555555552,4335.505564242713,107659.41693714271,332529.82105527574,607.9261099594755,1732.5280420906197
-71.38888888888889,201.7611111111111,4978.732550665298,109867.49926342105,333774.9078304528,618.9171725887779,1728.6821185387646
-69.58333333333333,203.56666666666666,5700.441168884555,112077.4516110477,335024.6054891003,629.8192617464722,1725.0238820742247
-67.77777777777777,205.3722222222222,6508.001716897979,114289.4077786965,336278.67382401624,640.6345761002242,1721.5464133647458
-65.97222222222223,207.17777777777775,7409.243026190394,116503.50036279678,337536.8707057446,651.3652489224063,1718.243042061167
-64.16666666666667,208.9833333333333,8412.462008658678,118719.86087522442,338798.9523586176,662.0133508687313,1715.1073367530582
-62.361111111111114,210.78888888888886,9526.432295222621,120938.61985810354,340064.67363615526,672.580892625508,1712.133095462717
-60.55555555555556,212.59444444444443,10760.411947987282,123159.90699617213,341333.7882926238,683.0698274345644,1709.3143366294648
-58.75,214.39999999999998,12124.150234676628,125383.85122707735,342606.04924767494,693.4820535036624,1706.6452905400338
-56.94444444444444,216.20555555555552,13627.893460691448,127610.58084980381,343881.2088411452,703.8194163093439,1704.1203911645864
-55.138888888888886,218.0111111111111,15282.389860518519,129840.2236313478,345159.0190752934,714.0837107978919,1701.7342683614775
-53.33333333333333,219.81666666666666,17098.893556273164,132072.90691153682,346439.23184196005,724.2766834891542,1699.4817404173052
-51.52777777777778,221.6222222222222,19089.16759687293,134308.75770573533,347721.5991323718,734.4000344866782,1697.3578068920356
-49.72222222222222,223.42777777777775,21265.48609667856,136547.9028049345,349005.8732275548,744.4554193964686,1695.357641742036
-47.91666666666667,225.2333333333333,23640.635497390194,138790.4688724962,350291.80686756887,754.4444511554485,1693.4765866966925
