T_C,T_K,P_Pa,h_liq_Jkg,h_vap_Jkg,s_liq_JkgK,s_vap_JkgK
-75.0,198.14999999999998,875.609467626889,115275.85073863393,370106.5507329066,638.6183449212693,1897.9237298693197
-73.19444444444444,199.95555555555552,948.2016001484344,117202.91776810981,371282.3944892595,648.3370826940342,1900.1506377248086
-71.38888888888889,201.7611111111111,1046.6898995292713,119134.77947380352,372459.2659672677,657.9847467485296,1900.4815740472338
-69.58333333333333,203.56666666666666,1171.4449061452688,121071.35800327906,373637.5397933613,667.5635957240737,1899.3479464641825
-67.77777777777777,205.3722222222222,1323.3021950905559,123012.61226223878,374817.5071824509,677.0757733965189,1897.150230508476
-65.97222222222223,207.17777777777775,1503.5274725812574,124958.53180137186,375999.390455757,686.5233191221874,1894.223374958002
-64.16666666666667,208.9833333333333,1713.7878127693943,126909.13158292348,377183.35510211723,695.9081770389628,1890.8279361673638
-62.361111111111114,210.78888888888886,1956.1282465933646,128864.44751354716,378369.5197729915,705.2322041708487,1887.1564221018366
-60.55555555555556,212.59444444444443,2232.9529921017897,130824.53264327523,379557.96454402345,714.4971775671245,1883.3458141693561
-58.75,214.39999999999998,2547.0106873867644,132789.4539421426,380748.7377264263,723.704800593316,1879.490809308601
-56.94444444444444,216.20555555555552,2901.38305322598,134759.28957650592,381941.86146862985,732.8567084786309,1875.655302908668
-55.138888888888886,218.0111111111111,3299.4764731071973,136734.12661651758,383137.33635174163,741.9544732130612,1871.8814096356214
-53.33333333333333,219.81666666666666,3745.0160338362643,138714.0591145142,384335.1451506251,750.9996078769846,1868.196156572288
-51.52777777777778,221.6222222222222,4242.041620736569,140699.18650161033,385535.2559051684,759.9935704766974,1864.6162759449887
-49.72222222222222,223.42777777777775,4794.905707841134,142689.6122563833,386737.6244229941,768.9377673508004,1861.1515584999647
-47.91666666666667,225.2333333333333,5408.272525754872,144685.44280550824,387942.19631494966,777.8335562046743,1857.807163222022
-46.111111111111114,227.03888888888886,6087.118328307475,146686.7866214093,389148.9086477634,786.6822488233455,1854.5851905170184
-44.30555555555556,228.84444444444443,6836.732513997671,148693.75348670542,390357.6912838712,795.4851135068348,1851.4857446827814
-42.5,230.64999999999998,7662.719389795389,150706.45389931055,391568.4679662491,804.2433772664901,1848.5076464766487
-40.69444444444444,232.45555555555552,8571.000393374088,152724.9985957143,392781.1571958425,812.9582278158035,1845.6489080069564
-38.888888888888886,234.2611111111111,9567.81661551309,154749.49817317637,393995.6729405824,821.6308153847732,1842.907047240675
-37.083333333333336,236.06666666666663,10659.73148746213,156780.0627943408,395211.92520780524,830.2622543829502,1840.2792948745841
-35.27777777777778,237.8722222222222,11853.633518703973,158816.8019602898,396429.82050591597,838.8536249327625,1837.7627293262758
-33.47222222222222,239.67777777777775,13156.738988980913,160859.82434016632,397649.26221620635,847.4059742917234,1835.3543639551708
-31.666666666666664,241.48333333333332,14576.594514852712,162909.23764735946,398870.1508916722,855.9203181793397,1833.051202696415
-29.861111111111107,243.28888888888886,16121.07942559996,164965.1485538947,400092.384496356,864.3976420222839,1830.8502749231275
-28.055555555555557,245.09444444444443,17798.40789614315,167027.66263602098,401315.85859603906,872.8389021292787,1828.7486567338983
-26.25,246.89999999999998,19617.13079596436,169096.88434522343,402540.46650891716,881.2450268054254,1826.743483432644
-24.444444444444443,248.70555555555552,21586.13722294288,171172.91699989737,403766.0994231452,889.6169174141895,1824.8319563425644
-22.638888888888886,250.5111111111111,23714.655699678868,173255.86279379835,404992.6464867218,897.9554493939504,1823.0113460131827
-20.833333333333336,252.31666666666663,26012.25501740739,175345.82281812569,406219.99487407465,906.2614732349492,1821.2789931612879
-19.02777777777778,254.1222222222222,28488.84471911607,177442.89709473395,407448.02983281144,914.5358154215281,1819.6323082126266
-17.22222222222222,255.92777777777775,31154.67521907668,179547.1846184697,408676.63471340586,922.7792793438065,1818.068770000116
-15.416666666666664,257.7333333333333,34020.337560790766,181658.78340709955,409905.69098402443,930.9926461822839,1816.585923971458
-13.611111111111107,259.5388888888889,37096.76281941719,183777.79055764357,411135.07823225576,939.176675768346,1815.1813801276296
-11.805555555555557,261.34444444444443,40395.22115818336,185904.30230823788,412364.6741551468,947.3321074232325,1813.8528108293553
-10.0,263.15,43927.320551160745,188038.41410489386,413594.35453865107,955.4596607776695,1812.597948554866
-8.194444444444443,264.9555555555555,47705.005187172486,190180.22067273725,414823.99322735786,963.5600365741391,1811.4145836584603
-6.388888888888886,266.76111111111106,51740.55357157111,192329.81609145683,416053.4620851428,971.6339174535077,1810.3005621581613
-4.583333333333329,268.56666666666666,56046.57634422561,194487.29387485227,417282.63094721275,979.6819687276377,1809.25378356784
-2.7777777777777715,270.3722222222222,60636.01383334664,196652.74705445915,418511.36756383395,987.7048391394521,1808.2721987811722
-0.9722222222222143,272.17777777777775,65522.133365805064,198826.26826733013,419739.53753588407,995.7031616118899,1807.353808010062
0.8333333333333286,273.9833333333333,70718.52635539298,201007.94984812828,420967.00424222345,1003.6775539871267,1806.4966587773042
2.6388888888888857,275.7888888888889,76239.10519109224,203197.88392573362,422193.6287587422,1011.6286197574312,1805.6988439615625
4.444444444444443,277.59444444444443,82098.09994786562,205396.16252464647,423419.2697688125,1019.5569487890274,1804.9584998917526
6.25,279.4,88310.05494281594,207602.8776714836,424643.78346476145,1027.4631180403649,1804.2738044873158
8.055555555555557,281.2055555555555,94889.82515977437,209818.1215069346,425867.02343986346,1035.3476922762231,1803.642975440522
9.861111111111114,283.01111111111106,101852.57256552162,212041.98640357133,427088.8405702645,1043.2112247791397,1803.0642684367272
11.666666666666671,284.81666666666666,109213.76234091385,214274.56508994606,428309.0828861537,1051.0542580596793,1802.5359754084095
13.472222222222229,286.6222222222222,116989.1590502019,216515.95078146044,429527.5954314387,1058.8773245671705,1802.0564228187625
15.277777777777786,288.42777777777775,125194.82277181475,218766.23731851816,430744.2201111097,1066.680947402558,1801.6239699706293
17.08333333333333,290.2333333333333,133847.10521381654,221025.51931253567,431958.79552543955,1074.4656410351333,1801.2370073366285
18.888888888888886,292.0388888888889,142962.64583717645,223293.89230041308,433171.15679012577,1082.2319120249672,1800.8939549064005
20.694444444444443,293.84444444444443,152558.36800989005,225571.45290813447,434381.1353414631,1089.980259752986,1800.5932605470407
22.5,295.65,162651.47521489105,227858.299024215,435588.5587256061,1097.711177160681,1800.3333983728955
24.305555555555557,297.4555555555555,173259.44733456417,230154.52998377552,436793.2503709812,1105.4251515016172,1800.1128671210745
26.111111111111114,299.26111111111106,184400.03703456165,232460.24676408444,437995.02934288373,1113.1226651069526,1799.930188529156
27.91666666666667,301.06666666666666,196091.26626949752,234775.55219248464,439193.7100792896,1120.8041961673798,1799.7839057116823
29.72222222222223,302.8722222222222,208351.42293299854,237100.55116769433,440389.10210688034,1128.4702195339928,1799.6725815321493
31.527777777777786,304.67777777777775,221199.05767447787,239435.35089556023,441581.00973625196,1136.1212075407934,1799.594796967228
33.33333333333333,306.4833333333333,234652.98090494037,241780.0611404311,442769.23173522536,1143.7576308516836,1799.5491494599626
35.138888888888886,308.2888888888889,248732.26001406426,244134.79449342756,443953.5609791014,1151.3799593350511,1799.5342512585946
36.94444444444444,310.09444444444443,263456.2168208008,246499.66665898572,445133.7840766095,1158.9886629692337,1799.548727737535
38.75,311.9,278844.425279761,248874.796761206,446309.6809701739,1166.5842127824558,1799.5912156967493
40.55555555555556,313.7055555555555,294916.709465723,251260.30767164807,447481.02450895595,1174.1670818310818,1799.6603616354887
42.361111111111114,315.51111111111106,311693.1418587652,253656.3263603931,448647.57999293716,1181.7377462203779,1799.7548199958721
44.16666666666667,317.31666666666666,329194.0419526893,256062.98427237387,449809.1046860672,1189.2966861723835,1799.8732513712698
45.97222222222223,319.1222222222222,347439.97520974174,258480.41773115165,450965.34729621734,1196.8443871458496,1800.0143206737876
47.777777777777786,320.92777777777775,366451.7523849888,260908.76837257986,452116.0474193414,1204.3813410137566,1800.1766952543628
49.58333333333333,322.7333333333333,386250.42924418754,263348.1836110166,453260.9349448665,1211.9080473044382,1800.3590429680921
51.388888888888886,324.5388888888889,406857.3066996307,265798.81714106136,454399.72941887623,1219.4250145129567,1800.5600301763207
53.19444444444446,326.34444444444443,428293.9313891535,268260.8294781112,455532.1393611508,1226.932761490167,1800.778319675914
55.0,328.15,450582.0967244237,270734.38854141097,456657.86153153225,1234.4318189176122,1801.0125685446765
56.80555555555557,329.9555555555555,473743.8444356706,273219.6702836956,457776.5801404236,1241.922730877455,1801.261425890438
58.611111111111114,331.76111111111106,497801.46664130216,275716.85937202536,458887.96599747695,1249.4060565276811,1801.5235304895568
60.41666666666666,333.5666666666666,522777.5084723563,278226.1499249634,459991.6755916545,1256.8823718940282,1801.7975082986188
62.22222222222223,335.3722222222222,548694.7712834656,280747.74631190597,461087.35009487666,1264.3522717916203,1802.0819698209195
64.02777777777777,337.17777777777775,575576.3164840564,283281.86402111343,462174.6142803412,1271.816371890864,1802.3755073067514
65.83333333333334,338.98333333333335,603445.4700259112,285828.73060385947,463253.07534530794,1279.2753109441642,1802.6766917636191
67.63888888888889,340.7888888888889,632325.8275859286,288388.5867031165,464322.3216266657,1286.7297531921918,1802.984069749181
69.44444444444446,342.59444444444443,662241.2604862031,290961.68717635784,465381.92119587364,1294.1803909711311,1803.2961599158318
71.25,344.4,693215.9223972132,293548.30232341576,466431.42031787126,1301.6279475452843,1803.6114492713457
73.05555555555557,346.2055555555555,725274.2568743335,296148.7192319282,467470.3417562209,1309.073180193074,1803.9283891147595
74.86111111111111,348.01111111111106,758441.0057829075,298763.24325477163,468498.1829039991,1316.5168835786533,1804.2453906004746
76.66666666666666,349.8166666666666,792741.2186731071,301392.1996360748,469514.413716715,1323.9598934462836,1804.560819876243
78.47222222222223,351.6222222222222,828200.2631727882,304035.9353050175,470518.4744196975,1331.4030906805456,1804.8729927320276
80.27777777777777,353.42777777777775,864843.8364747495,306694.8208597106,471509.77295780845,1338.8474057824285,1805.1801686863314
82.08333333333334,355.23333333333335,902697.9780045605,309369.2527671463,472487.68214985466,1346.2938238197182,1805.4805444241333
83.88888888888889,357.0388888888889,941789.0833666415,312059.6558096303,473451.5365034599,1353.7433899201205,1805.7722464855322
85.69444444444446,358.84444444444443,982143.9196800941,314766.48581344774,474400.6286381536,1361.1972153876618,1806.0533230859376
87.5,360.65,1023789.6424322713,317490.23270196834,475334.20525470126,1368.6564845376065,1806.3217349264398
89.30555555555557,362.4555555555555,1066753.8139979858,320231.42392326077,476251.46257677337,1376.12246236301,1806.575344825722
91.11111111111111,364.26111111111106,1111064.4239963861,322990.628311921,477151.5411763921,1383.596503167959,1806.8119059712712
92.91666666666666,366.0666666666666,1156749.9116869275,325768.4604566904,478033.5200764371,1391.0800603296725,1807.0290485460634
94.72222222222223,367.8722222222222,1203839.1906417676,328565.58566016454,478896.4100008843,1398.5746973852526,1807.224264434946
96.52777777777777,369.67777777777775,1252361.6759764273,331382.72559528786,479739.14561510686,1406.0821006809492,1807.394889649832
98.33333333333334,371.48333333333335,1302347.3144754965,334220.66478647786,480560.57656280353,1413.6040938748433,1807.538084030505
100.13888888888889,373.2888888888889,1353826.6180188295,337080.25807256676,481359.45706063416,1421.1426546511475,1807.6508076731163
101.94444444444446,375.09444444444443,1406830.7008000396,339962.4392462978,482134.43375340046,1428.6999340905631,1807.729793404195
103.75,376.9,1461391.3209381618,342868.23111351155,482884.0314573469,1436.2782792524354,1807.7715144443578
105.55555555555557,378.7055555555555,1517540.9272224654,345798.75727822393,483606.6363211182,1443.880259669665,1807.772146179574
107.36111111111111,380.51111111111106,1575312.7119087956,348755.25604271377,484300.4758049365,1451.508698648475,1807.727520659806
109.16666666666666,382.3166666666666,1634740.670716808,351739.09692198475,484963.5947072119,1459.1667105196398,1807.633072048635
