refrigerant,Te_C,COP,q_e_Jkg,Qdot_kW_fixed_mdot,w_comp_Jkg
R1233zd(E),10.0,8.016803266516401,169442.27676955392,1.6944227676955392,21135.89059585129
R1336mzz(E),-40.0,1.5385755490666457,86610.59443316187,0.8661059443316187,56292.714703352016
R1336mzz(E),-38.0,1.62007207507351,88026.76205881734,0.8802676205881735,54335.090032845095
R1336mzz(E),-36.0,1.7065387635848537,89446.48885689248,0.8944648885689248,52413.98013661057
R1336mzz(E),-34.0,1.798398592292396,90869.47568091974,0.9086947568091974,50527.99533449899
R1336mzz(E),-32.0,1.8961251287762078,92295.42277858444,0.9229542277858445,48675.808034965245
R1336mzz(E),-30.0,2.0002503310779147,93724.02987907905,0.9372402987907906,46856.15016425075
R1336mzz(E),-28.0,2.1113738332303735,95154.99626076352,0.9515499626076352,45067.810713168525
R1336mzz(E),-26.0,2.230174056553908,96588.02079805775,0.9658802079805775,43309.63339574792
R1336mzz(E),-24.0,2.3574215799614473,98022.80198664535,0.9802280198664536,41580.51441450213
R1336mzz(E),-22.0,2.4939953241346995,99459.03794619566,0.9945903794619567,39879.400327546056
R1336mzz(E),-20.0,2.6409022658567363,100896.42639992936,1.0089642639992937,38205.28601318668
R1336mzz(E),-18.0,2.799301615030263,102334.66463044888,1.023346646304489,36557.212727983424
R1336mzz(E),-16.0,2.9705346794769834,103773.44941132501,1.03773449411325,34934.26625458425
R1336mzz(E),-14.0,3.156162042650759,105212.47691399264,1.0521247691399265,33335.575135942025
R1336mzz(E),-12.0,3.3580102326403773,106651.44258953005,1.0665144258953005,31760.308992766484
R1336mzz(E),-10.0,3.57823083537756,108090.04102491398,1.08090041024914,30207.67692129867
R1336mzz(E),-8.0,3.819376103729779,109527.96577331997,1.0952796577331996,28676.925968710275
R1336mzz(E),-6.0,4.084496695306999,110964.90915800587,1.1096490915800588,27167.33968361444
R1336mzz(E),-4.0,4.377269482719137,112400.56204924997,1.1240056204924997,25678.236739362765
R1336mzz(E),-2.0,4.702166815157169,113834.61361373504,1.1383461361373504,24208.969627958664
R1336mzz(E),0.0,5.064683811943652,115266.75103565186,1.1526675103565187,22758.923422589025
R1336mzz(E),2.0,5.47164830780692,116696.6592086736,1.166966592086736,21327.514606918616
R1336mzz(E),4.0,5.931650776605747,118124.02039777595,1.1812402039777596,19914.189969452273
R1336mzz(E),6.0,6.455652154296198,119548.51386970657,1.1954851386970655,18518.42556141253
R1336mzz(E),8.0,7.057861805367143,120969.81549067746,1.2096981549067745,17139.725716744142
R1336mzz(E),10.0,7.757036913288948,122387.59728961517,1.2238759728961517,15777.62213300122
R1243zf,-40.0,1.6224782645653446,122816.56042453219,1.228165604245322,75696.89105045376
R1243zf,-38.0,1.701346622207513,124175.67752503642,1.2417567752503642,72986.70118374663
R1243zf,-36.0,1.7849844365633794,125536.63679749644,1.2553663679749643,70329.26126750518
R1243zf,-34.0,1.8738043013299135,126899.11109402755,1.2689911109402756,67722.7130944049
R1243zf,-32.0,1.9682681242510371,128262.77244379019,1.2826277244379019,65165.29473980918
R1243zf,-30.0,2.068894716357651,129627.29137611834,1.2962729137611835,62655.33492411394
R1243zf,-28.0,2.176268826756459,130992.33618347501,1.30992336183475,60191.24777829391
R1243zf,-26.0,2.2910519548029,132357.5721285298,1.323575721285298,57771.527987856825
