final_rank,refrigerant,mean_Q_kW,mean_COP,mean_power_kW,mean_mdot_kg_s,score_Q,score_COP,score_power,score_mdot,combined_score
1,R1234ze(Z),1.6701960577909627,3.842323767908987,2.0481238265785104,0.031442421711673926,1.0,1.0,1.0,1.0,1.0
2,R1233zd(E),1.5200621730046027,3.824813688008982,2.0693720387130394,0.03470347139421779,0.7598792039981487,0.9567721308951567,0.9455193394916693,0.8423362270240706,0.8761267253522613
3,R1243zf,1.397922145367116,3.5938280753813716,2.258255000949501,0.03818857488410924,0.5645311604719615,0.3865282550939073,0.4612212500213473,0.6738400006804003,0.5215301665669041
4,R1234ze(E),1.2642526329888508,3.590561274136177,2.2797686842822453,0.04248524135301558,0.3507431154938273,0.3784633657601486,0.40605991830486343,0.466106690043289,0.40034327240053214
5,R1336mzz(E),1.044952899821411,3.5760734527310123,2.3375737898460196,0.05212599169728964,0.0,0.34269667303839646,0.2578469622251113,0.0,0.15013590881587693
6,R1234yf,1.0607256458017713,3.4372591588361536,2.4381376761954754,0.05134319556256121,0.025226579098572684,0.0,0.0,0.03784627775924676,0.01576821421445486
