refrigerant,mean_Q_kW,mean_COP,rank
R1234ze(Z),1.6701960577909627,3.842323767908987,1
R1233zd(E),1.5200621730046027,3.824813688008982,2
R1243zf,1.397922145367116,3.5938280753813716,3
R1234ze(E),1.2642526329888508,3.590561274136177,4
R1234yf,1.0607256458017713,3.4372591588361536,5
R1336mzz(E),1.044952899821411,3.5760734527310123,5
